Round,Poll end time,Game mode,Beatmapset ID,Topic ID,Yes,No,Topic title
5,2018-02-02T23:04:38+00:00,2,449909,696280,16,0,[osu!catch] 1/28/18 Walkure - Ikenai Borderline by noraRcat Vote/Discussion
5,2018-02-02T23:04:39+00:00,2,603421,696281,15,3,[osu!catch] 1/28/18 DJ Noriken - #The_Relentless_(Modified) by CLSW Vote/Discussion
5,2018-02-02T23:04:42+00:00,2,654747,696282,16,1,[osu!catch] 1/28/18 toby fox - Another Medium by ExGon Vote/Discussion
5,2018-02-02T23:04:43+00:00,2,360829,696283,12,1,[osu!catch] 1/28/18 Mayumi Morinaga(moimoi) - dreamin&#039; feat.Ryu* by Ster Vote/Discussion
5,2018-02-02T23:04:44+00:00,2,402209,696284,18,6,[osu!catch] 1/28/18 ezdiy - STOP ME FROM PLAYING RHYTHM TENGOKU AAAAAAAAAAA by Vincs Vote/Discussion
5,2018-02-02T23:04:45+00:00,2,88841,696285,18,2,[osu!catch] 1/28/18 Obsidia - Crazy by Drafura Vote/Discussion
5,2018-02-02T23:04:47+00:00,2,26480,696286,12,1,[osu!catch] 1/28/18 Jun.A - The Fairy&#039;s Adventurous Tale by KanbeKotori Vote/Discussion
5,2018-02-02T23:40:58+00:00,0,194923,696295,146,5,[osu!std] 1/28/18 yst - the lost dedicated by spro Vote/Discussion
5,2018-02-02T23:40:59+00:00,0,520980,696296,79,13,[osu!std] 1/28/18 Crazy Astronaut - So Damn Tough by Akali Vote/Discussion
5,2018-02-02T23:41:03+00:00,0,39423,696299,56,12,[osu!std] 1/28/18 Hatsune Miku - Hyper LATiON by Lan wings Vote/Discussion
5,2018-02-02T23:41:06+00:00,0,532325,696300,63,8,[osu!std] 1/28/18 Yunomi - Harajuku Sunny Day by Nathan Vote/Discussion
5,2018-02-02T23:41:07+00:00,0,570075,696301,81,33,[osu!std] 1/28/18 Elephante - Hold ft. Jessica Jarrell (Candyland Remix) by ohad1881 Vote/Discussion
5,2018-02-02T23:41:08+00:00,0,403501,696302,85,3,[osu!std] 1/28/18 USAO - Night sky (Extended Mix) by RLC Vote/Discussion
5,2018-02-02T23:41:10+00:00,0,321437,696303,117,2,[osu!std] 1/28/18 Kozato - Tsuki -Yue- by ktgster Vote/Discussion
5,2018-02-02T23:41:13+00:00,0,303778,696304,125,12,"[osu!std] 1/28/18 Reji - A Young Girl, So Vivid in the Night by Taeyang Vote/Discussion"
5,2018-02-02T23:41:14+00:00,0,580375,696305,81,8,[osu!std] 1/28/18 CLIFF EDGE feat. Nakamura Maiko - The Distance by handsome Vote/Discussion
5,2018-02-03T01:00:45+00:00,0,373391,696336,64,12,[osu!std] 1/28/18 winnie - this storyends by SkinnyJommy Vote/Discussion
6,2018-02-10T01:53:15+00:00,0,379783,699475,292,30,[osu!std] 2/4/18 Araki - Snow Drive (01.23) by jieusieu Vote/Discussion
6,2018-02-10T01:53:16+00:00,0,549212,699476,195,31,[osu!std] 2/4/18 TK from Ling Tosite Sigure - unravel by handsome Vote/Discussion
6,2018-02-10T01:53:17+00:00,0,500816,699477,157,12,[osu!std] 2/4/18 Hakuryu - Genesis At Oasis (MOONLiGHT Mix) by Krimek Vote/Discussion
6,2018-02-10T01:53:19+00:00,0,551111,699478,184,10,[osu!std] 2/4/18 lapix - Foolish Hero (P*Light Remix) by Cassu2 Vote/Discussion
6,2018-02-10T01:53:20+00:00,0,521653,699479,208,15,"[osu!std] 2/4/18 Camellia feat kradness, Nanahira and yukacco - Mazare Party by ProfessionalBox Vote"
6,2018-02-10T01:53:22+00:00,0,276997,699480,122,24,[osu!std] 2/4/18 Yonezawa Madoka - Responsibility Response by ShiraKai Vote/Discussion
6,2018-02-10T01:53:23+00:00,0,518003,699481,113,25,[osu!std] 2/4/18 LEAF XCEED Music Division - Guitar vs Piano by Shiro Vote/Discussion
6,2018-02-10T01:53:24+00:00,0,563413,699482,131,5,[osu!std] 2/4/18 sky_delta - Grenade by Nanashima Asami Vote/Discussion
6,2018-02-10T01:53:26+00:00,0,31224,699483,101,9,[osu!std] 2/4/18 BRZion - Game Brain by Zapy Vote/Discussion
6,2018-02-10T01:53:27+00:00,0,378400,699484,210,29,[osu!std] 2/4/18 penoreri - Preserved Valkyria by Necroluttah Vote/Discussion
